audio_path,image_path,wave_path,label,class_name,sample_id
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1328.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1328.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1328.csv,1,weak,1328
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1854.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1854.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1854.csv,1,weak,1854
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0369.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0369.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0369.csv,2,strong,0369
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_1953.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_1953.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_1953.csv,0,none,1953
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_0424.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_0424.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_0424.csv,1,weak,0424
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0833.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0833.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0833.csv,2,strong,0833
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0598.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0598.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0598.csv,2,strong,0598
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0871.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0871.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0871.csv,0,none,0871
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1953.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1953.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1953.csv,1,weak,1953
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0835.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0835.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0835.csv,2,strong,0835
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1348.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1348.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1348.csv,1,weak,1348
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_2188.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_2188.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_2188.csv,1,weak,2188
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_1194.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_1194.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_1194.csv,0,none,1194
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_1127.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_1127.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_1127.csv,0,none,1127
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_0810.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_0810.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_0810.csv,1,weak,0810
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_1255.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_1255.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_1255.csv,2,strong,1255
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0247.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0247.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0247.csv,0,none,0247
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1226.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1226.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1226.csv,1,weak,1226
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0042.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0042.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0042.csv,0,none,0042
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0887.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0887.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0887.csv,2,strong,0887
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_1566.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_1566.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_1566.csv,0,none,1566
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0421.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0421.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0421.csv,2,strong,0421
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0371.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0371.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0371.csv,0,none,0371
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0713.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0713.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0713.csv,0,none,0713
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0294.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0294.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0294.csv,2,strong,0294
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0265.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0265.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0265.csv,2,strong,0265
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0783.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0783.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0783.csv,2,strong,0783
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_2290.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_2290.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_2290.csv,2,strong,2290
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_1770.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_1770.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_1770.csv,0,none,1770
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1636.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1636.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1636.csv,1,weak,1636
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1744.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1744.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1744.csv,1,weak,1744
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_1201.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_1201.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_1201.csv,0,none,1201
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0968.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0968.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0968.csv,0,none,0968
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1164.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1164.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1164.csv,1,weak,1164
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_1884.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_1884.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_1884.csv,2,strong,1884
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_0043.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_0043.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_0043.csv,1,weak,0043
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0157.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0157.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0157.csv,0,none,0157
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1827.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1827.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1827.csv,1,weak,1827
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_1905.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_1905.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_1905.csv,2,strong,1905
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0305.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0305.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0305.csv,2,strong,0305
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0203.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0203.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0203.csv,2,strong,0203
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1117.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1117.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1117.csv,1,weak,1117
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_1442.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_1442.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_1442.csv,0,none,1442
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_1757.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_1757.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_1757.csv,0,none,1757
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_1868.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_1868.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_1868.csv,0,none,1868
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0215.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0215.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0215.csv,0,none,0215
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0599.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0599.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0599.csv,0,none,0599
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0352.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0352.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0352.csv,2,strong,0352
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0840.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0840.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0840.csv,0,none,0840
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_2021.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_2021.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_2021.csv,1,weak,2021
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_2051.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_2051.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_2051.csv,1,weak,2051
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_1559.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_1559.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_1559.csv,2,strong,1559
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1250.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1250.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1250.csv,1,weak,1250
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0650.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0650.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0650.csv,0,none,0650
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_1583.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_1583.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_1583.csv,2,strong,1583
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1465.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1465.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1465.csv,1,weak,1465
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_2205.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_2205.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_2205.csv,1,weak,2205
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1095.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1095.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1095.csv,1,weak,1095
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1125.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1125.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1125.csv,1,weak,1125
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0857.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0857.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0857.csv,2,strong,0857
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1891.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1891.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1891.csv,1,weak,1891
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_2124.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_2124.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_2124.csv,1,weak,2124
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1639.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1639.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1639.csv,1,weak,1639
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_1563.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_1563.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_1563.csv,2,strong,1563
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1524.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1524.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1524.csv,1,weak,1524
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0225.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0225.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0225.csv,0,none,0225
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_1922.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_1922.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_1922.csv,2,strong,1922
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0291.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0291.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0291.csv,0,none,0291
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_2345.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_2345.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_2345.csv,1,weak,2345
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_0730.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_0730.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_0730.csv,2,strong,0730
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Strong\audio_1794.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Strong\image_1794.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Strong\wave_1794.csv,2,strong,1794
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0340.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0340.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0340.csv,0,none,0340
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\None\audio_0367.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\None\image_0367.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\None\wave_0367.csv,0,none,0367
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_0927.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_0927.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_0927.csv,1,weak,0927
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_0709.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_0709.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_0709.csv,1,weak,0709
D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Audio\Weak\audio_1214.wav,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Image\Weak\image_1214.jpg,D:\Fish_Feeding_Intensity\Dataset\Multimodal_Fish_Feeding_Intensity\Wave\Weak\wave_1214.csv,1,weak,1214
